#name, A, B, C, D, E, F
NODE_1246, 1.2065467213544689e-07, 2.2509033651352475e-09, 2.843567343339131e-09, 3.0416985575506435e-09, 0.9999998289223884, 4.228677016870603e-08
GCA_034396175.1, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
NODE_1223, 1.2008562857159624e-07, 2.2476848799047163e-09, 2.8395531389107075e-09, 3.0372733436393633e-09, 0.9999998296506898, 4.2139170186139665e-08
GCA_034395735.1, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
GCA_034395715.1, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
NODE_1247, 1.206601236128502e-07, 2.250913612191777e-09, 2.8435794999474695e-09, 3.0417136782474323e-09, 0.999999828915372, 4.2288297504428144e-08
GCA_034363405.1, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
NODE_1245, 1.212264374098759e-07, 2.2541264779838535e-09, 2.8475872426513775e-09, 3.046130244288872e-09, 0.9999998281908294, 4.2434889103221516e-08
NODE_1243, 1.200883098103374e-07, 2.2476898925312982e-09, 2.8395591068876486e-09, 3.0372804304581854e-09, 0.999999829647474, 4.2139686747327446e-08
GCA_034363255.1, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
GCA_034363095.1, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
NODE_1244, 1.2123179915974734e-07, 2.2541364932187266e-09, 2.8475991711378752e-09, 3.046144401142944e-09, 0.9999998281844001, 4.2435920428811526e-08
NODE_1222, 1.2122642428558751e-07, 2.254126467620132e-09, 2.8475872317172823e-09, 3.0461302271283326e-09, 0.9999998281908463, 4.243488556335692e-08
NODE_1202, 1.200883097487949e-07, 2.2476898925030976e-09, 2.8395591068622583e-09, 3.0372804304106118e-09, 0.999999829647474, 4.21396867349957e-08
GCA_034362785.1, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0
GCA_034362405.1, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0
NODE_1221, 1.2065735300167025e-07, 2.2509083751382475e-09, 2.8435733092398e-09, 3.041705638426931e-09, 0.9999998289191747, 4.228728501034856e-08
GCA_034362775.1, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
NODE_1200, 1.2065467174339647e-07, 2.250903364921221e-09, 2.843567343009939e-09, 3.0416985551462747e-09, 0.9999998289223906, 4.228676846191392e-08
GCA_034363015.1, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
NODE_1198, 1.2065464655336597e-07, 2.250903345818091e-09, 2.8435673227069436e-09, 3.0416985275202836e-09, 0.9999998289224195, 4.228676483721808e-08
GCA_034363465.1, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
NODE_1197, 1.206519780514301e-07, 2.250898344654432e-09, 2.8435613662693e-09, 3.0416914572501286e-09, 0.9999998289256206, 4.2286250112443524e-08
GCA_034362715.1, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0
NODE_1172, 1.2008561594540236e-07, 2.2476848703265012e-09, 2.8395531287372284e-09, 3.037273329781748e-09, 0.9999998296507043, 4.2139168364640846e-08
GCA_034363055.1, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0
GCA_034362645.1, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0
